Particulars, 03-2008, 03-2009, 03-2011, 03-2012, 03-2013
Total,13718172.00,13826198.00,14300420.00,14736146.00,15090378.00
Andaman and Nicobar Islands,534.00,534.00,534.00,534.00,534.00
Andhra Pradesh,2446387.00,2443336.00,2449772.00,2449772.00,2467916.00
Arunachal Pradesh,1822.00,1822.00,1822.00,1822.00,1822.00
Assam,57130.00,57163.00,56298.00,56249.00,56249.00
Bihar,104043.00,103999.00,104146.00,104134.00,104134.00
Chandigarh,28036.00,28036.00,28036.00,28036.00,28036.00
Chhattisgarh,90968.00,91340.00,94244.00,98068.00,75856.00
Dadar Nagar Haveli,87.00,87.00,87.00,87.00,87.00
Delhi,19172.00,20364.00,19905.00,19905.00,22065.00
Goa,7393.00,7393.00,7393.00,7393.00,7393.00
Gujarat,557416.00,558103.00,588527.00,591190.00,594623.00
Haryana,100559.00,102473.00,101963.00,109665.00,109665.00
Himachal Pradesh,74595.00,74595.00,74595.00,74595.00,74595.00
Jammu and Kashmir,23951.00,23951.00,23951.00,23951.00,23951.00
Jharkhand,269130.00,370112.00,370263.00,398531.00,398531.00
Kartanaka,2007353.00,2008689.00,2149334.00,2194156.00,2194156.00
Kerala,1253597.00,1253833.00,1255597.00,1255556.00,1265828.00
Madhya Pradesh,142029.00,142069.00,159039.00,185657.00,214007.00
Maharashtra,482020.00,482008.00,731495.00,731615.00,761716.00
Manipur,14592.00,14592.00,14592.00,14592.00,14592.00
Meghalaya,15395.00,15395.00,15395.00,15395.00,15395.00
Mizoram,12309.00,12309.00,12139.00,12139.00,12139.00
Nagaland,21491.00,21713.00,21891.00,22043.00,22073.00
Orissa,276735.00,277779.00,276970.00,276978.00,287346.00
Puducherry,6847.00,9847.00,11860.00,11860.00,10058.00
Punjab,118324.00,118745.00,118034.00,118034.00,118034.00
Rajasthan,264256.00,264256.00,276270.00,556100.00,868509.00
Sikkim,12839.00,12839.00,12839.00,12839.00,12839.00
Tamil Nadu,1387254.00,1387080.00,1400283.00,1400283.00,1402956.00
Tripura,7570.00,7570.00,7570.00,7570.00,7570.00
Uttar Pradesh,644495.00,644174.00,645440.00,686236.00,645440.00
Uttarakhand,55453.00,55497.00,55465.00,55465.00,56265.00
West Bengal,3214390.00,3214495.00,3214671.00,3215696.00,3215998.00
